2001:250:806::,2001:250:807:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:808::,2001:250:80b:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:80c::,2001:250:80c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:80d::,2001:250:80e:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:80f::,2001:250:80f:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:810::,2001:250:811:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:812::,2001:250:812:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:813::,2001:250:813:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:814::,2001:250:814:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:815::,2001:250:815:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:816::,2001:250:816:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:817::,2001:250:817:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:818::,2001:250:818:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:819::,2001:250:81a:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:81b::,2001:250:81b:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:81c::,2001:250:82e:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:82f::,2001:250:830:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
